id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Velvet Steps,Avery Lane,r&b,romantic,0.58,96,0.72,0.74,0.42
12,Golden Barrio,Luna Mar,latin,energetic,0.88,128,0.86,0.90,0.16
13,Quiet Constellations,Aria North,classical,peaceful,0.18,62,0.52,0.20,0.97
14,Concrete Crown,Northside Verse,hip-hop,confident,0.84,102,0.68,0.81,0.08
15,Porchlight Letters,Maple June,folk,nostalgic,0.33,84,0.63,0.48,0.94
16,Electric Horizon,Nova Circuit,edm,euphoric,0.96,140,0.91,0.86,0.04
17,Dusty Highway,Westbound Pines,country,hopeful,0.55,106,0.74,0.69,0.76
18,Blue Sunday,The Harbor Choir,soul,melancholic,0.46,88,0.31,0.57,0.67